,0Low,0High,1Low,1High,2Low,2High,3Low,3High,4Low,4High,5Low,5High,6Low,6High
0,0.6,0.7,-3.76,4.18,-3680.86,4526.56,-3770694.45,4638154.46,-3862711530.61,4751337796.68,-3956971027045.46,4867281909867.85,-97847489533387.34,120357544312183.36
1,-0.7,-0.6,-12.13,12.97,-11664.89,14349.01,-11950497.78,14699744.71,-12242123043.37,15058453463.6,-12540860408143.1,15425916081083.14,-132191731257801.05,162602763018588.94
2,-0.4,-0.3,-1243.81,1542.48,-1286587.65,1582618.93,-1318025205.59,1621240240.36,-1350188291835.15,1660802417693.94,-1383136145934217.2,1701330006195349.0,-4144012951594758.0,5097353287551934.0
3,0.5,0.6,-2487.32,3084.96,-2568200.36,3159067.94,-2630909035.52,3236156174.93,-2695109624223.59,3315126198732.22,-2760876805660540.5,3396023281356577.5,-2760876805660540.5,3396023281356593.5
4,0.0,0.0,0.1,0.1,0.64,0.64,0.76,0.76,0.67,0.67,0.92,0.92,0.66,0.66
